"m","n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","df_lrt","aic_F","aic_R","bic_F","bic_R"
2,100,0.215,0.825,0.816491935172219,0.0538515311100127,-655.04711131817,-655.074037083725,0.0549657165004784,1.08087666523421,1,1318.09422263634,1316.14807416745,1328.51490338029,1323.96358472541
2,100,0.215,0.825,0.108993550133342,2.56875400398462,-645.767161296123,-647.051538298115,0.0549657165004784,1.08087666523421,1,1299.53432259225,1300.10307659623,1309.9550033362,1307.9185871542
2,100,0.215,0.825,0.169468749439692,1.88763643445441,-631.264479630857,-632.208297848084,0.0549657165004784,1.08087666523421,1,1270.52895926171,1270.41659569617,1280.94964000567,1278.23210625413
2,100,0.215,0.825,0.406112554469891,0.690152382932411,-662.813597524379,-663.158673715845,0.0549657165004784,1.08087666523421,1,1333.62719504876,1332.31734743169,1344.04787579271,1340.13285798965
2,100,0.215,0.825,0.236758168145883,1.39979338281046,-622.075812701788,-622.775709393193,0.0549657165004784,1.08087666523421,1,1252.15162540358,1251.55141878639,1262.57230614753,1259.36692934435
2,100,0.215,0.825,0.265434862885195,1.24018780192182,-637.823407162981,-638.443501063942,0.0549657165004784,1.08087666523421,1,1283.64681432596,1282.88700212788,1294.06749506991,1290.70251268585
2,100,0.215,0.825,0.621984040726434,0.243088837401501,-657.465597873383,-657.587142292084,0.0549657165004784,1.08087666523421,1,1322.93119574677,1321.17428458417,1333.35187649072,1328.98979514213
2,100,0.215,0.825,0.154901522196243,2.02330648739667,-650.123493547437,-651.135146791135,0.0549657165004784,1.08087666523421,1,1308.24698709487,1308.27029358227,1318.66766783883,1316.08580414023
2,100,0.215,0.825,0.0485491167133136,3.89087523647459,-630.437599951867,-632.383037570104,0.0549657165004784,1.08087666523421,1,1268.87519990373,1270.76607514021,1279.29588064769,1278.58158569817
2,100,0.215,0.825,0.0699682575366945,3.28376479856911,-643.597773338362,-645.239655737646,0.0549657165004784,1.08087666523421,1,1295.19554667672,1296.47931147529,1305.61622742068,1304.29482203326
2,100,0.215,0.825,0.415904083859389,0.661859933269625,-664.027170700052,-664.358100666687,0.0549657165004784,1.08087666523421,1,1336.0543414001,1334.71620133337,1346.47502214406,1342.53171189134
2,100,0.215,0.825,0.112731037473641,2.51551167432376,-656.938518253506,-658.196274090668,0.0549657165004784,1.08087666523421,1,1321.87703650701,1322.39254818134,1332.29771725097,1330.2080587393
2,100,0.215,0.825,0.924898793604069,0.00888585662437436,-654.801396569849,-654.805839498161,0.0549657165004784,1.08087666523421,1,1317.6027931397,1315.61167899632,1328.02347388365,1323.42718955429
2,100,0.215,0.825,0.21489608197286,1.53813190293386,-602.944129131099,-603.713195082566,0.0549657165004784,1.08087666523421,1,1213.8882582622,1213.42639016513,1224.30893900615,1221.2419007231
2,100,0.215,0.825,0.325683975377705,0.965983315966696,-632.672331763845,-633.155323421828,0.0549657165004784,1.08087666523421,1,1273.34466352769,1272.31064684366,1283.76534427164,1280.12615740162
2,100,0.215,0.825,0.153264466107889,2.03945582888468,-651.837449509944,-652.857177424387,0.0549657165004784,1.08087666523421,1,1311.67489901989,1311.71435484877,1322.09557976384,1319.52986540674
2,100,0.215,0.825,0.72332240066321,0.125331572035975,-585.680406973209,-585.743072759227,0.0549657165004784,1.08087666523421,1,1179.36081394642,1177.48614551845,1189.78149469037,1185.30165607642
2,100,0.215,0.825,0.590089463283546,0.290204575557482,-596.594140454843,-596.739242742622,0.0549657165004784,1.08087666523421,1,1201.18828090969,1199.47848548524,1211.60896165364,1207.29399604321
2,100,0.215,0.825,0.599375090404047,0.275939435508235,-626.434290807561,-626.572260525315,0.0549657165004784,1.08087666523421,1,1260.86858161512,1259.14452105063,1271.28926235907,1266.96003160859
2,100,0.215,0.825,0.108418085710763,2.57712987424338,-634.415167858963,-635.703732796085,0.0549657165004784,1.08087666523421,1,1276.83033571793,1277.40746559217,1287.25101646188,1285.22297615013
2,100,0.215,0.825,0.462429241616778,0.540008408741187,-622.930904681231,-623.200908885602,0.0549657165004784,1.08087666523421,1,1253.86180936246,1252.4018177712,1264.28249010642,1260.21732832917
2,100,0.215,0.825,0.874736591266688,0.0248519263268463,-636.916571135026,-636.928997098189,0.0549657165004784,1.08087666523421,1,1281.83314227005,1279.85799419638,1292.253823014,1287.67350475434
2,100,0.215,0.825,0.942583326128825,0.00518736282992904,-586.167736078224,-586.170329759639,0.0549657165004784,1.08087666523421,1,1180.33547215645,1178.34065951928,1190.7561529004,1186.15617007724
2,100,0.215,0.825,0.858136273000121,0.0319505308809767,-641.868601205457,-641.884576470898,0.0549657165004784,1.08087666523421,1,1291.73720241091,1289.7691529418,1302.15788315487,1297.58466349976
2,100,0.215,0.825,0.100334415538185,2.70021976233556,-649.300541747159,-650.650651628327,0.0549657165004784,1.08087666523421,1,1306.60108349432,1307.30130325665,1317.02176423827,1315.11681381462
2,100,0.215,0.825,0.576047912703323,0.312667471281429,-649.373081490482,-649.529415226122,0.0549657165004784,1.08087666523421,1,1306.74616298096,1305.05883045224,1317.16684372492,1312.87434101021
2,100,0.215,0.825,0.389650696850619,0.740031783708218,-621.635714623357,-622.005730515211,0.0549657165004784,1.08087666523421,1,1251.27142924671,1250.01146103042,1261.69210999067,1257.82697158839
2,100,0.215,0.825,0.457533685010811,0.551921368670492,-639.942423058751,-640.218383743086,0.0549657165004784,1.08087666523421,1,1287.8848461175,1286.43676748617,1298.30552686145,1294.25227804414
2,100,0.215,0.825,0.740510853245673,0.109678151816979,-625.014945636317,-625.069784712225,0.0549657165004784,1.08087666523421,1,1258.02989127263,1256.13956942445,1268.45057201659,1263.95507998241
2,100,0.215,0.825,0.201651792108757,1.63037063560205,-648.782048507534,-649.597233825335,0.0549657165004784,1.08087666523421,1,1305.56409701507,1305.19446765067,1315.98477775902,1313.00997820863
2,100,0.215,0.825,0.496045839651633,0.463385825874866,-617.439567378364,-617.671260291302,0.0549657165004784,1.08087666523421,1,1242.87913475673,1241.3425205826,1253.29981550068,1249.15803114057
2,100,0.215,0.825,0.00963986663117373,6.70026345616202,-642.093318761597,-645.443450489678,0.0549657165004784,1.08087666523421,1,1292.18663752319,1296.88690097936,1302.60731826715,1304.70241153732
2,100,0.215,0.825,0.734896083151691,0.114663442249139,-644.354889217331,-644.412220938456,0.0549657165004784,1.08087666523421,1,1296.70977843466,1294.82444187691,1307.13045917861,1302.63995243488
2,100,0.215,0.825,0.818507225851338,0.0526543604364633,-638.582478813953,-638.608805994171,0.0549657165004784,1.08087666523421,1,1285.16495762791,1283.21761198834,1295.58563837186,1291.03312254631
2,100,0.215,0.825,0.015407678335993,5.86924273491422,-625.61918876148,-628.553810128937,0.0549657165004784,1.08087666523421,1,1259.23837752296,1263.10762025787,1269.65905826691,1270.92313081584
2,100,0.215,0.825,0.297173610168572,1.08683466599609,-625.560556022542,-626.10397335554,0.0549657165004784,1.08087666523421,1,1259.12111204508,1258.20794671108,1269.54179278904,1266.02345726904
2,100,0.215,0.825,0.520300501962913,0.413297598843428,-642.802192128174,-643.008840927596,0.0549657165004784,1.08087666523421,1,1293.60438425635,1292.01768185519,1304.0250650003,1299.83319241316
2,100,0.215,0.825,0.480453256379876,0.497834309835525,-664.292187958686,-664.541105113604,0.0549657165004784,1.08087666523421,1,1336.58437591737,1335.08221022721,1347.00505666133,1342.89772078517
2,100,0.215,0.825,0.660035342944077,0.193480664015169,-668.736321087653,-668.833061419661,0.0549657165004784,1.08087666523421,1,1345.47264217531,1343.66612283932,1355.89332291926,1351.48163339729
2,100,0.215,0.825,0.0763656270706516,3.14060177691294,-631.600260247363,-633.170561135819,0.0549657165004784,1.08087666523421,1,1271.20052049473,1272.34112227164,1281.62120123868,1280.1566328296
2,100,0.215,0.825,0.714429857678627,0.133892458735318,-635.861106856298,-635.928053085665,0.0549657165004784,1.08087666523421,1,1279.7222137126,1277.85610617133,1290.14289445655,1285.67161672929
2,100,0.215,0.825,0.404792247145475,0.694044047081206,-644.868087967981,-645.215109991522,0.0549657165004784,1.08087666523421,1,1297.73617593596,1296.43021998304,1308.15685667991,1304.24573054101
2,100,0.215,0.825,0.163983904925594,1.93709864813422,-648.513581785458,-649.482131109525,0.0549657165004784,1.08087666523421,1,1305.02716357092,1304.96426221905,1315.44784431487,1312.77977277701
2,100,0.215,0.825,0.0361128055337074,4.39176992234138,-618.655777467771,-620.851662428942,0.0549657165004784,1.08087666523421,1,1245.31155493554,1247.70332485788,1255.7322356795,1255.51883541585
2,100,0.215,0.825,0.154331954594245,2.0289031464722,-655.715096951305,-656.729548524541,0.0549657165004784,1.08087666523421,1,1319.43019390261,1319.45909704908,1329.85087464656,1327.27460760705
