"n","target_cv","actual_cv","maxmin_ratio","p","q","p_value","Lambda","loglik_F","loglik_R","aic_F","aic_R","bic_F","bic_R"
100,0,0,1,0.215,0.825,0.449269560473642,3.6921440369772,-627.129757787968,-628.975829806456,1274.25951557594,1269.95165961291,1300.31121743582,1285.58268072884
100,0,0,1,0.215,0.825,0.125507948622414,7.2036861589595,-576.164404959124,-579.766248038604,1172.32880991825,1171.53249607721,1198.38051177813,1187.16351719314
100,0,0,1,0.215,0.825,0.703650308838654,2.17477327503548,-632.689128421974,-633.776515059492,1285.37825684395,1279.55303011898,1311.42995870383,1295.18405123491
100,0,0,1,0.215,0.825,0.198832359087157,6.00423319228616,-608.197638453235,-611.199755049378,1236.39527690647,1234.39951009876,1262.44697876635,1250.03053121469
100,0,0,1,0.215,0.825,0.0140715700994337,12.4874718085402,-598.010665570596,-604.254401474867,1216.02133114119,1220.50880294973,1242.07303300107,1236.13982406566
100,0,0,1,0.215,0.825,0.03162012388601,10.5869497898811,-611.369655798538,-616.663130693478,1242.73931159708,1245.32626138696,1268.79101345696,1260.95728250289
100,0,0,1,0.215,0.825,0.608789501183031,2.70242976859345,-595.05438574042,-596.405600624717,1210.10877148084,1204.81120124943,1236.16047334072,1220.44222236536
100,0,0,1,0.215,0.825,0.429160573435951,3.83241683770893,-627.016938529889,-628.933146948743,1274.03387705978,1269.86629389749,1300.08557891966,1285.49731501342
100,0,0,1,0.215,0.825,0.619685756850758,2.64038650999578,-628.725889130305,-630.046082385303,1277.45177826061,1272.09216477061,1303.50348012049,1287.72318588653
100,0,0,1,0.215,0.825,0.495473019318981,3.38567610874065,-602.712387341539,-604.405225395909,1225.42477468308,1220.81045079182,1251.47647654296,1236.44147190775
100,0,0,1,0.215,0.825,0.0828819315550562,8.2486798298919,-623.504590263288,-627.628930178234,1267.00918052658,1267.25786035647,1293.06088238646,1282.8888814724
100,0,0,1,0.215,0.825,0.608435594045268,2.7044531474437,-643.866334593039,-645.218561166761,1307.73266918608,1302.43712233352,1333.78437104596,1318.06814344945
100,0,0,1,0.215,0.825,0.884778827923119,1.15914128235613,-644.985851085474,-645.565421726652,1309.97170217095,1303.1308434533,1336.02340403083,1318.76186456923
100,0,0,1,0.215,0.825,0.734338140253551,2.00772397397213,-585.800212649688,-586.804074636674,1191.60042529938,1185.60814927335,1217.65212715926,1201.23917038928
100,0,0,1,0.215,0.825,0.847422822816016,1.38139095660426,-665.271672758049,-665.962368236351,1350.5433455161,1343.9247364727,1376.59504737598,1359.55575758863
100,0,0,1,0.215,0.825,0.157468573743095,6.61861263203605,-628.196757101591,-631.506063417609,1276.39351420318,1275.01212683522,1302.44521606306,1290.64314795115
100,0,0,1,0.215,0.825,0.0812034447196745,8.29948952580935,-598.867860275609,-603.017605038514,1217.73572055122,1218.03521007703,1243.7874224111,1233.66623119296
100,0,0,1,0.215,0.825,0.745021838161947,1.94963596058233,-633.17124018072,-634.146058161012,1286.34248036144,1280.29211632202,1312.39418222132,1295.92313743795
100,0,0,1,0.215,0.825,0.652661678718233,2.45527679227166,-618.487704575538,-619.715342971674,1256.97540915108,1251.43068594335,1283.02711101096,1267.06170705928
100,0,0,1,0.215,0.825,0.00966144167306714,13.3559344574837,-613.201610966117,-619.879578194859,1246.40322193223,1251.75915638972,1272.45492379212,1267.39017750565
100,0,0,1,0.215,0.825,0.00206372939275188,16.8535938353571,-578.209091444358,-586.635888362037,1176.41818288872,1185.27177672407,1202.4698847486,1200.90279784
100,0,0,1,0.215,0.825,0.559842621182584,2.98795798453079,-612.646812879074,-614.140791871339,1245.29362575815,1240.28158374268,1271.34532761803,1255.91260485861
100,0,0,1,0.215,0.825,0.780554444344811,1.75582103551301,-590.43826290381,-591.316173421567,1200.87652580762,1194.63234684313,1226.9282276675,1210.26336795906
100,0,0,1,0.215,0.825,0.714610223933687,2.11503766659075,-622.634864263421,-623.692383096716,1265.26972852684,1259.38476619343,1291.32143038672,1275.01578730936
100,0,0,1,0.215,0.825,0.153090789686741,6.69194809413716,-635.900315709783,-639.246289756852,1291.80063141957,1290.4925795137,1317.85233327945,1306.12360062963
100,0,0,1,0.215,0.825,0.299740130911914,4.8808765607339,-644.099025243957,-646.539463524324,1308.19805048791,1305.07892704865,1334.2497523478,1320.70994816458
100,0,0,1,0.215,0.825,0.375197378940703,4.23451251621032,-630.38359600853,-632.500852266635,1280.76719201706,1277.00170453327,1306.81889387694,1292.6327256492
100,0,0,1,0.215,0.825,0.311114091497344,4.77553281580026,-640.510479713662,-642.898246121562,1301.02095942732,1297.79649224312,1327.0726612872,1313.42751335905
100,0,0,1,0.215,0.825,0.221221069529093,5.71800228216807,-582.73859550372,-585.597596644804,1185.47719100744,1183.19519328961,1211.52889286732,1198.82621440554
100,0,0,1,0.215,0.825,0.650251817676777,2.46868529196422,-600.527270675141,-601.761613321124,1221.05454135028,1215.52322664225,1247.10624321016,1231.15424775818
100,0,0,1,0.215,0.825,0.986655864411918,0.345980177776482,-609.612466965435,-609.785457054324,1239.22493393087,1231.57091410865,1265.27663579075,1247.20193522458
100,0,0,1,0.215,0.825,0.689839946822343,2.25025488667825,-622.973194175992,-624.098321619331,1265.94638835198,1260.19664323866,1291.99809021186,1275.82766435459
100,0,0,1,0.215,0.825,0.191034046151693,6.11067507804728,-597.630905792252,-600.686243331276,1215.2618115845,1213.37248666255,1241.31351344439,1229.00350777848
