target_cv,n,reject_rate,n_reps,mean_lambda,sd_lambda,actual_cv,maxmin_ratio,aic_selects_full_rate,bic_selects_full_rate,se_reject,ci_low,ci_high
0.1,500,0.3847695390781563,499,8.814286434504165,5.115864391955476,0.136930639376291,1.41897954795235,0.503006012024048,0.004008016032064128,0.02178055708850557,0.3431142552375752,0.428185494027402
0.1,1000,0.69,500,13.284141699348913,6.491799081236625,0.136930639376291,1.41897954795235,0.782,0.032,0.02068332661831747,0.6481408712280013,0.7289617737302553
0.1,5000,1.0,500,52.063611379896656,13.489030577882195,0.136930639376291,1.41897954795235,1.0,0.932,0.0,0.9923753814690964,0.9999999999999999
0.1,10000,1.0,500,100.24393290936639,20.664147939479104,0.136930639376291,1.41897954795235,1.0,1.0,0.0,0.9923753814690964,0.9999999999999999
0.15,100,0.2,495,6.385913268334435,4.315414699549901,0.205395959064437,1.70200025980768,0.3111111111111111,0.020202020202020204,0.01797866299901979,0.16713213424256046,0.23748849082158818
0.15,500,0.7895791583166333,499,15.364960024140043,7.1608449718746385,0.205395959064437,1.70200025980768,0.8617234468937875,0.08817635270541083,0.018247019745603756,0.751670932824532,0.8230627407617425
0.15,1000,0.9679358717434869,499,26.08631001855751,9.568438608846256,0.205395959064437,1.70200025980768,0.9899799599198397,0.38877755511022044,0.007886471501045286,0.9485530811871145,0.9801688065803255
0.15,5000,1.0,497,116.2007020495919,21.747211868282758,0.205395959064437,1.70200025980768,1.0,1.0,0.0,0.9923297106310658,1.0
0.15,10000,1.0,500,225.5533034365208,30.968270001167685,0.205395959064437,1.70200025980768,1.0,1.0,0.0,0.9923753814690964,0.9999999999999999
0.2,100,0.35671342685370744,499,8.496177682265463,5.009615822431546,0.273861278752583,2.06002309434949,0.48096192384769537,0.04408817635270541,0.021444291342320756,0.3159238472977308,0.3996923626578497
0.2,500,0.9939271255060729,494,25.151266649763844,9.56292296536328,0.273861278752583,2.06002309434949,1.0,0.4534412955465587,0.0034955132286107844,0.9822988562051751,0.9979326069750813
0.2,1000,1.0,497,46.41054102697163,12.813492249073862,0.273861278752583,2.06002309434949,1.0,0.9416498993963782,0.0,0.9923297106310658,1.0
0.2,5000,1.0,498,215.02187418361967,28.178372766822143,0.273861278752583,2.06002309434949,1.0,1.0,0.0,0.9923449949147299,0.9999999999999999
0.2,10000,1.0,494,427.82046787126546,39.81551958503746,0.273861278752583,2.06002309434949,1.0,1.0,0.0,0.9922834893668989,0.9999999999999999
0.3,100,0.7745901639344263,488,15.6830252689838,7.5636469291000035,0.410791918128875,3.16332943087853,0.8647540983606558,0.3155737704918033,0.018915268459160188,0.7354543535329444,0.8094365219033749
0.3,500,1.0,493,59.00205546482064,14.918020352146938,0.410791918128875,3.16332943087853,1.0,0.9959432048681541,0.0,0.9922679582386016,1.0
0.3,1000,1.0,496,116.41297357328942,21.57191540537181,0.410791918128875,3.16332943087853,1.0,1.0,0.0,0.9923143651908927,1.0
0.3,5000,1.0,491,561.5995984578116,49.046589204603606,0.410791918128875,3.16332943087853,1.0,1.0,0.0,0.9922367076656451,1.0
0.3,10000,1.0,496,1127.803262117911,69.86218126766325,0.410791918128875,3.16332943087853,1.0,1.0,0.0,0.9923143651908927,1.0
0.5,100,1.0,462,70.11746908414479,20.228556018574558,0.684653196881458,13.9282032302755,1.0,1.0,0.0,0.9917534200466425,1.0
0.5,500,1.0,450,335.2933038549743,89.36567753222248,0.684653196881458,13.9282032302755,1.0,1.0,0.0,0.9915353726939092,1.0
0.5,1000,1.0,450,676.1862640277766,192.92675848131842,0.684653196881458,13.9282032302755,1.0,1.0,0.0,0.9915353726939092,1.0
0.5,5000,1.0,470,3424.8135648078546,937.8820891263475,0.684653196881458,13.9282032302755,1.0,1.0,0.0,0.991892649357929,1.0
