"n","target_cv","actual_cv","mttf_true","mttf_full","mttf_reduced","mttf_adaptive_lrt","selected_model_lrt","cv_hat","mttf_adaptive_cv","selected_model_cv","Lambda","p_value","loglik_F","loglik_R","conv_F"
100,0,0,221.829531491824,205.863089540956,209.254611078948,209.254611078948,"reduced",0.305823608514085,205.863089540956,"full",6.5774169869826,0.159977378783901,-624.91343385057,-628.202142344062,0
100,0,0,221.829531491824,204.723832720357,207.729712953864,207.729712953864,"reduced",0.263790119864618,204.723832720357,"full",4.59251468457728,0.331718136820418,-613.741990934129,-616.038248276418,0
100,0,0,221.829531491824,211.013529348877,213.96033222931,213.96033222931,"reduced",0.210738949324823,211.013529348877,"full",3.08592156849545,0.543551011735983,-616.862367786701,-618.405328570949,0
100,0,0,221.829531491824,234.338600516386,236.618086975211,236.618086975211,"reduced",0.205427324066837,234.338600516386,"full",2.58758954512814,0.629023148708998,-602.362182765819,-603.655977538383,0
100,0,0,221.829531491824,215.050784994123,217.078330945212,217.078330945212,"reduced",0.26496424896364,215.050784994123,"full",2.46277541034101,0.651313605475881,-617.306465564318,-618.537853269488,0
100,0,0,221.829531491824,205.531985895172,207.475042193397,207.475042193397,"reduced",0.192234014784899,205.531985895172,"full",2.19621878437192,0.699721596457993,-619.13771038956,-620.235819781745,0
100,0,0,221.829531491824,226.059015019901,228.991626352792,228.991626352792,"reduced",0.266276926300432,226.059015019901,"full",5.74020026295966,0.219408552408425,-624.368478265163,-627.238578396643,0
100,0,0,221.829531491824,214.026675178542,216.850138534465,216.850138534465,"reduced",0.268722449299378,214.026675178542,"full",1.65083571164473,0.799627781348912,-619.942019378767,-620.767437234589,0
100,0,0,221.829531491824,221.294002662952,225.241620548394,225.241620548394,"reduced",0.269748824307661,221.294002662952,"full",3.33585212924231,0.503271924865462,-599.086227428846,-600.754153493467,0
100,0,0,221.829531491824,188.086873093693,189.128498708185,189.128498708185,"reduced",0.248270508438183,188.086873093693,"full",3.94089436131867,0.414064022538531,-644.303413176535,-646.273860357194,0
100,0,0,221.829531491824,216.881625230603,235.382776918182,235.382776918182,"reduced",0.643752999394829,216.881625230603,"full",9.33329597313104,0.0532876742088201,-589.068420329642,-593.735068316207,0
100,0,0,221.829531491824,207.901408140765,209.048817854934,209.048817854934,"reduced",0.15322502893852,207.901408140765,"full",1.39729544230295,0.844664945228428,-626.587618768497,-627.286266489648,0
100,0,0,221.829531491824,215.075499356555,222.074167155323,222.074167155323,"reduced",0.567601994959513,215.075499356555,"full",5.14338746763838,0.272898918219683,-603.981592383216,-606.553286117035,0
100,0,0,221.829531491824,201.826387133981,206.976329976248,206.976329976248,"reduced",0.341417726338505,201.826387133981,"full",6.04528094155694,0.195792089574379,-612.668848427886,-615.691488898664,0
100,0,0,221.829531491824,214.636568165767,219.942540875205,219.942540875205,"reduced",0.286588147494366,214.636568165767,"full",5.46969596112876,0.242406099020131,-612.404199213322,-615.139047193887,0
100,0,0,221.829531491824,216.508535274957,218.27664340838,218.27664340838,"reduced",0.133345061238625,216.508535274957,"full",0.784628162008858,0.940496913851237,-603.72654587386,-604.118859954865,0
100,0,0,221.829531491824,219.231758460359,223.000944388568,223.000944388568,"reduced",0.356442210783086,219.231758460359,"full",5.12205982548562,0.275001120057861,-631.414214570734,-633.975244483476,0
