"n","pmask","q","p.value","Lambda","loglik.F","loglik.R"
300,0.215,0.825,0.525111175043985,3.19888427118394,-1899.31985605078,-1900.91929818638
350,0.215,0.825,0.993563796100392,0.235969306209881,-2152.65720805068,-2152.77519270378
400,0.215,0.825,0.890489830197447,1.12372564502311,-2417.37936012652,-2417.94122294903
450,0.215,0.825,0.795774211732276,1.67212772310177,-2810.61874640382,-2811.45481026537
500,0.215,0.825,0.745644168031461,1.94625145767714,-3028.97880759009,-3029.95193331893
1000,0.215,0.825,0.106517120426388,7.62037024363235,-6188.0781878177,-6191.88837293952
2000,0.215,0.825,0.387941771281104,4.13578015881649,-12264.2885424677,-12266.3564325471
4000,0.215,0.825,0.0127229098307425,12.7209510545872,-24729.545424056,-24735.9058995833
5000,0.215,0.825,0.0119641879479652,12.8631505629746,-30911.9491673221,-30918.3807426036
6000,0.215,0.825,0.167034332541569,6.46460388656124,-37076.2279382698,-37079.4602402131
7000,0.215,0.825,0.995377880438133,0.198742722626776,-43449.9061323199,-43450.0055036812
8000,0.215,0.825,0.0336468862937599,10.4390578563325,-49911.8269026484,-49917.0464315766
50,0.215,0.825,0.567915637468744,2.94000183994842,-331.065970608239,-332.535971528213
60,0.215,0.825,0.514355796808119,3.26588365647274,-396.484591384177,-398.117533212413
70,0.215,0.825,0.368336166262767,4.28874825441528,-435.287160069229,-437.431534196437
80,0.215,0.825,0.28822111475148,4.99101053577124,-514.641123739794,-517.13662900768
90,0.215,0.825,0.14389532486828,6.85242734240319,-579.613352537311,-583.039566208512
100,0.215,0.825,0.472097083941152,3.53817804217056,-620.318019187452,-622.087108208537
150,0.215,0.825,0.719411797397769,2.08890060125145,-902.181185038137,-903.225635338763
200,0.215,0.825,0.126097709577869,7.19170491324576,-1263.00425108515,-1266.60010354177
250,0.215,0.825,0.0291033738989791,10.7838776093172,-1518.40137003039,-1523.79330883504
300,0.215,0.825,0.28081087607146,5.06382746647523,-1839.17881764307,-1841.71073137631
350,0.215,0.825,0.959800405981535,0.628885400763465,-2184.45816582853,-2184.77260852891
400,0.215,0.825,0.744831317647557,1.95067206468684,-2411.17041683252,-2412.14575286486
450,0.215,0.825,0.97362810602179,0.498692841582852,-2788.93645707448,-2789.18580349527
500,0.215,0.825,0.103657490483571,7.68901818710765,-3227.54524681569,-3231.38975590925
1000,0.215,0.825,0.0947961770685575,7.91356634680051,-6302.46050427942,-6306.41728745282
2000,0.215,0.825,0.638406371586054,2.53485028168507,-12297.2578030501,-12298.5252281909
4000,0.215,0.825,0.00238470364822376,16.5298302337396,-24567.2703187148,-24575.5352338317
5000,0.215,0.825,0.342159563251412,4.503272998787,-31097.2750116887,-31099.5266481881
6000,0.215,0.825,0.0325340407446109,10.5191633811046,-36965.4350713731,-36970.6946530637
7000,0.215,0.825,0.00264777149851923,16.2950394184882,-43376.7115118939,-43384.8590316031
8000,0.215,0.825,0.00324953645131894,15.8344561332196,-49802.8245965582,-49810.7418246248
50,0.215,0.825,0.444688437327229,3.72369892933568,-318.583341207659,-320.445190672327
60,0.215,0.825,0.401975474246911,4.02989236249539,-367.316097435733,-369.331043616981
70,0.215,0.825,0.929065572451511,0.868288755127082,-435.751974107751,-436.186118485314
80,0.215,0.825,0.104488570497072,7.66888727947185,-462.789453053227,-466.623896692963
90,0.215,0.825,0.228146991076411,5.63462310589966,-550.734184524534,-553.551496077484
100,0.215,0.825,0.504952117486306,3.32518321684938,-581.108023971311,-582.770615579736
150,0.215,0.825,0.49446205816427,3.39217184164499,-919.764202703179,-921.460288624001
200,0.215,0.825,0.233866162308749,5.56742351490539,-1267.08880653314,-1269.87251829059
250,0.215,0.825,0.417353349506656,3.91701340863119,-1498.59121629042,-1500.54972299473
300,0.215,0.825,0.941430960499159,0.777559476572605,-1862.28587804404,-1862.67465778233
350,0.215,0.825,0.555273127383182,3.01527080758024,-2179.28940322235,-2180.79703862614
400,0.215,0.825,0.121090995257276,7.29510812433819,-2431.86243203333,-2435.50998609549
450,0.215,0.825,0.570334391624963,2.92570556979808,-2791.40778690027,-2792.87063968517
500,0.215,0.825,0.165362136703517,6.49093993274437,-3109.73662095693,-3112.9820909233
1000,0.215,0.825,0.0990110950606572,7.8044187127125,-6143.43122745036,-6147.33343680672
2000,0.215,0.825,0.127457309639603,7.16427983297763,-12274.4846059156,-12278.066745832
4000,0.215,0.825,0.140825071729536,6.90810149451136,-24750.8654026531,-24754.3194534004
5000,0.215,0.825,0.0514782849223255,9.41712488576013,-31081.1825966075,-31085.8911590504
6000,0.215,0.825,0.16634902174405,6.4753681330767,-37170.5334182822,-37173.7711023488
7000,0.215,0.825,0.0605403082327861,9.0224690715113,-43426.4530015695,-43430.9642361053
8000,0.215,0.825,0.154449342203029,6.6689879939513,-49425.6966911576,-49429.0311851546
50,0.215,0.825,0.219820605184834,5.7351397278303,-288.36039724421,-291.227967108125
60,0.215,0.825,0.608209545016059,2.70574580737969,-385.723598112201,-387.07647101589
70,0.215,0.825,0.487347239834404,3.43813462823903,-442.579509596035,-444.298576910155
80,0.215,0.825,0.752760592080942,1.90753541127685,-479.086684564365,-480.040452270004
90,0.215,0.825,0.204934453639566,5.92350250447407,-533.857284371913,-536.819035624151
100,0.215,0.825,0.609662402367473,2.69744143729304,-569.36692805638,-570.715648775027
150,0.215,0.825,0.810661348187189,1.58959313661944,-929.077020301559,-929.871816869869
200,0.215,0.825,0.286537380040549,5.00741632539211,-1254.42780800173,-1256.93151616443
250,0.215,0.825,0.67039918922612,2.35706841675028,-1529.19008042935,-1530.36861463772
300,0.215,0.825,0.722682863757274,2.07110332214688,-1840.24345979881,-1841.27901145988
350,0.215,0.825,0.896788100848356,1.08409075880081,-2150.42406570126,-2150.96611108066
400,0.215,0.825,0.0672020674610189,8.76672977764247,-2474.55078540885,-2478.93415029767
450,0.215,0.825,0.00354518050429596,15.6381684783355,-2802.95905832336,-2810.77814256252
500,0.215,0.825,0.698887995929389,2.20077170097738,-3175.78485643924,-3176.88524228973
1000,0.215,0.825,0.0749476019081262,8.49800897630666,-6193.9716206977,-6198.22062518586
2000,0.215,0.825,0.676080787769058,2.3257725302683,-12402.7446742667,-12403.9075605318
4000,0.215,0.825,0.78934708713655,1.70754239087546,-25052.9092614386,-25053.763032634
5000,0.215,0.825,0.0393879922317075,10.0624965497991,-31199.3587013588,-31204.3899496337
6000,0.215,0.825,0.205502326733111,5.91609840115416,-37366.1938027441,-37369.1518519447
7000,0.215,0.825,0.235740136252944,5.54571600719646,-43190.7771430177,-43193.5500010213
8000,0.215,0.825,0.15972502476292,6.58153411030071,-49445.7646314915,-49449.0553985467
50,0.215,0.825,0.160194795062504,6.57387459222366,-299.039773742524,-302.326711038636
60,0.215,0.825,0.446714043986521,3.70971820486284,-345.738188537265,-347.593047639697
