"n","target_cv","actual_cv","mttf_true","R_half_true","R_mttf_true","R_2mttf_true","mttf_full","R_half_full","R_mttf_full","R_2mttf_full","mttf_reduced","R_half_reduced","R_mttf_reduced","R_2mttf_reduced","loglik_F","loglik_R","Lambda","p_value","conv_F","conv_R"
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,253.977655190635,0.723872576009944,0.479542159255659,0.163157107980659,298.65290129863,0.682519755920345,0.47070550348879,0.226158596962367,-579.014230513185,-586.358868550385,14.6892760744011,0.00539102979438167,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,225.42283185022,0.723790023764609,0.439958974419578,0.102121026257862,229.702327149856,0.709927899349844,0.424808332660446,0.117726963968934,-623.185717488374,-627.607868099784,8.84430122281879,0.0651112402822699,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,223.261585564045,0.671426528436201,0.413887410460414,0.122106327122487,230.98029969164,0.659732301765252,0.402808324989648,0.136980553112862,-603.500221941393,-606.806319348623,6.61219481446096,0.157857052376793,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,218.676809290327,0.677657815986494,0.399130716650363,0.108984025452115,220.430412417465,0.674577565872405,0.395966197450796,0.113021903488212,-618.496556146492,-619.35824977444,1.72338725589725,0.786465044484846,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,215.547187114665,0.673498863901849,0.391905012334584,0.104231383948399,217.096405918024,0.67081308820316,0.38955890403914,0.107960549241322,-628.028994654389,-628.631853444578,1.20571758037886,0.877156361293488,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,209.976339294509,0.666110309661872,0.39447186838651,0.0959012746170403,215.486403427501,0.653701835610366,0.380442168153982,0.111131782130023,-619.456979513062,-622.517521017115,6.12108300810701,0.190286363729337,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,245.456384264416,0.681629181008126,0.4315600588799,0.156192846293088,246.863947425977,0.679718887610473,0.430095040754553,0.158188174092132,-592.545585549055,-593.054118813073,1.01706652803705,0.907197198952063,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,216.204148876825,0.701802230150815,0.41720796263391,0.0919044098597623,221.358097384917,0.690394611829157,0.403898862962384,0.108780820598269,-627.809823365249,-630.901085585356,6.18252444021391,0.185925599795568,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,233.108683555751,0.702405444555313,0.432764667254128,0.128293836618584,236.450225530306,0.695618620428584,0.426923931973668,0.135877818626588,-603.099743923264,-605.026476194342,3.85346454215687,0.426200350785286,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,228.948296238762,0.702656719212383,0.434389593998456,0.120390755216726,234.906207201256,0.692888743015197,0.423653800259598,0.133929041626176,-607.428351904932,-610.165723563648,5.47474331743047,0.24195849896953,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,203.069366861751,0.614586478141975,0.355792247955305,0.103234193253374,206.276851085244,0.606538033767137,0.349744487386298,0.109989048472156,-615.381867569404,-617.41940654224,4.075077945673,0.39594049915002,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,195.591775230585,0.641046888461894,0.357899835219762,0.0766234348804003,199.817991600359,0.623923899007461,0.346237516710467,0.0921147549529343,-636.969875438438,-640.637769211414,7.33578754595123,0.119172194969212,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,212.974605562035,0.697649653438529,0.403780056421107,0.0875233228232562,215.910705507739,0.688685646696299,0.3946033057129,0.0984384046365765,-636.291750025399,-638.641786851724,4.70007365265064,0.319478440084279,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,195.965254205651,0.65733817544558,0.364063940201912,0.0688602166617713,199.314944776602,0.642750105053395,0.350953017626309,0.0836927803910007,-648.050610128666,-651.648395626899,7.19557099646636,0.125907127885417,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,201.263012612734,0.690515734622557,0.381561213856341,0.0636745792256442,203.835303068909,0.682351501108442,0.37063594788413,0.0759679543139562,-643.856230946629,-646.543536250861,5.37461060846408,0.250973133654494,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,228.282231208074,0.698882566262023,0.423376502789458,0.119977146291724,230.600346666029,0.696156203160879,0.419655139868558,0.124707521539476,-629.972769153178,-630.246858832029,0.548179357701201,0.968644378779239,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,194.906152527868,0.640128639715533,0.348286912545226,0.0758740337567413,196.722713320388,0.632031595456765,0.343336212178219,0.0828366593397752,-634.491838897255,-636.045303830925,3.10692986733898,0.540093125689646,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,229.995413329736,0.676128878845958,0.437887780511939,0.136257038167301,245.20444947897,0.662448772384119,0.419028260411754,0.159262595770565,-596.970319432381,-599.584556171593,5.22847347842298,0.264647628121316,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,254.242412499191,0.680255642508241,0.440152016625183,0.170926491215976,256.763934968504,0.677948280878217,0.438332845965578,0.173747487248051,-584.666301274879,-585.042006130838,0.751409711918996,0.944840986717363,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,201.541128185148,0.626741775176098,0.352018011930949,0.0947200218423351,202.537152235477,0.623488035210209,0.350381493813601,0.0974836590809832,-631.343612663637,-632.132809162957,1.57839299863804,0.812670237777689,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,238.476459551182,0.655432839507226,0.414715926302188,0.152861408601949,243.952893629722,0.649203374922639,0.41067644715476,0.159882205109945,-583.581368045985,-585.148055085293,3.13337407861582,0.535758884348014,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,229.787430077139,0.694310243891431,0.426138407862539,0.125119050600356,233.614523735763,0.688068473511801,0.419680768325875,0.133129687879239,-619.770100621044,-621.058618748917,2.57703625574618,0.630896392589017,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,231.406818331844,0.672883464085563,0.416021160247378,0.135676606103247,235.994681369382,0.666013071146238,0.411512004009558,0.14374229892285,-603.807590359904,-605.351092948399,3.08700517699049,0.543372339723143,0,0
100,0,0,221.829531491824,0.661814459434652,0.392491247188788,0.120147033020014,200.888481817858,0.677724348907875,0.367271038619479,0.0713567043553661,201.657887210109,0.675486312109465,0.364402489168961,0.0744546834913166,-642.126935020916,-642.65612774154,1.05838544124686,0.900817352773507,0,0
