target_cv,n,n_reps,mttf_true,actual_cv,lrt_selects_reduced,cv_selects_reduced,mean_cv_hat,sd_cv_hat,mse_full,mse_red,mse_lrt,mse_cv,rmse_full,rmse_red,rmse_lrt,rmse_cv,rel_rmse_red,rel_rmse_lrt,rel_rmse_cv,bias_full_x,bias_reduced,bias_adaptive_lrt,bias_adaptive_cv,bias_full_y,bias_red,bias_lrt,bias_cv,rmse_full_pct,rmse_red_pct,rmse_lrt_pct
0.06,500,500,220.703401433383,0.0821583836257748,0.862,0.202,0.14462148464475177,0.052602262680889106,88.18460513631429,93.00589854428715,92.43190064113281,88.23451900670156,9.390665851595099,9.643956581418601,9.614151061905197,9.393323107755933,1.0269726059713304,1.023798654306514,1.0002829678111038,0,0,0,0,-0.6127182873824986,0.711395206444225,0.3384575828089111,-0.5294120496414587,4.254880437096286,4.369645650581207,4.356140865734291
0.06,1000,500,220.703401433383,0.0821583836257748,0.77,0.346,0.11456060334794706,0.03764978981424687,42.28046529456327,44.103382412102974,43.66257102864483,42.76534952532076,6.502343061894171,6.641037751142736,6.607765963519352,6.539522117503752,1.0213299556680362,1.0162130636021025,1.0057177936100392,0,0,0,0,-0.1492501006266332,0.7317693499636048,0.37254584683397884,0.0036136992750306833,2.94619068834643,3.0090328051184403,2.9939574653605128
0.08,100,499,219.784626615894,0.109544511501033,0.8977955911823647,0.02404809619238477,0.337764986527087,0.20511449515975289,418.7627551145158,514.9807293261784,499.50656942822445,418.92669781242114,20.463693584358513,22.693186848174904,22.34964360852818,20.46769888904029,1.1089487220195924,1.092160783017744,1.0001957273580777,0,0,0,0,-3.48018944035712,1.868777923662641,0.7258451323031936,-3.4706041717952716,9.310793889202191,10.325192984418601,10.168883944547893
0.08,500,499,219.784626615894,0.109544511501033,0.7615230460921844,0.13226452905811623,0.1586636970440475,0.05477313236559066,86.40625494994701,89.71318011387399,90.32478404494363,86.88287638920728,9.295496487544224,9.471704182135017,9.503935187328649,9.321098454002472,1.0189562434698252,1.0224236220264005,1.0027542333529527,0,0,0,0,-1.2025720338279664,0.37214967185799797,-0.2979009582260784,-1.141200890469223,4.229366098380244,4.309538991864165,4.324203805181595
0.08,1000,500,219.784626615894,0.109544511501033,0.544,0.2,0.13556641240048453,0.03987564773134955,47.89439979097179,50.28128203505104,49.59610510065519,48.241184849222165,6.92057799544025,7.09092956071706,7.042450219962878,6.9455874373030655,1.0246152222240756,1.0176101222474374,1.0036137793518538,0,0,0,0,-0.0007941527284600625,1.1407986600633193,0.3941490738129601,0.09080461087692816,3.1487998510173227,3.2263082590892505,3.2042506013264505
0.1,100,496,218.590403996944,0.136930639376291,0.8911290322580645,0.028225806451612902,0.33952565998839473,0.19686883189572466,429.11374088600115,517.8588894637116,505.77931700884943,429.04378759720225,20.71506072609977,22.756513121823204,22.489537945650405,20.71337219279377,1.0985491871212003,1.0856612125358096,0.9999184876487534,0,0,0,0,-3.649234287744999,1.9680875041446393,0.8703676080511893,-3.6410773719223797,9.476656041309745,10.410572790808033,10.288437888593142
0.1,500,500,218.590403996944,0.136930639376291,0.596,0.072,0.18378066240555707,0.0603319693177245,88.8808472596494,97.3714272052837,92.8601927140303,89.0288651732422,9.427663934382123,9.867696144758598,9.636399364598288,9.435510859155544,1.0466745753178266,1.0221407372673648,1.0008323297084025,0,0,0,0,-0.5185138997895508,1.5709995349483787,0.2945196439442151,-0.49056373167891887,4.312935866349342,4.51424031628422,4.4084274462171775
0.1,1000,500,218.590403996944,0.136930639376291,0.298,0.08,0.1609745512671478,0.043947531024143234,42.61454859859269,47.428848738164824,43.71570829155745,42.81484361612803,6.5279819698428,6.886860586520162,6.611785560010053,6.543305251639116,1.0549754301306693,1.0128375952253543,1.0023473229348832,0,0,0,0,0.01432922638505704,1.6238033769145608,0.254181537154903,0.05661340455261723,2.9863991513250805,3.1505777292110424,3.0247373348111335
0.15,100,493,214.377405441242,0.205395959064437,0.8336713995943205,0.008113590263691683,0.3781139321719176,0.19719845705477548,411.93906646753544,529.4006418466387,498.84547880027674,412.04159831686883,20.29628208484341,23.00870795691576,22.334848976437623,20.298807805308883,1.1336415142799923,1.1004404098776568,1.0001244425188276,0,0,0,0,-2.402494787154617,4.915620562959504,2.6593256156505185,-2.399651981999534,9.46754721798625,10.73280456471526,10.418471541096858
0.15,500,499,214.377405441242,0.205395959064437,0.20641282565130262,0.006012024048096192,0.23809354361128543,0.062095124734335455,90.91856714316798,111.189265169488,93.50957779020794,90.89953337854989,9.53512281741394,10.54463205472282,9.670035045965859,9.534124678152153,1.1058727041737961,1.0141489764878047,0.9998953197267723,0,0,0,0,-0.6397411180001753,2.9914514752269774,-0.2731851004811789,-0.6363217053189267,4.447820794261545,4.918723609430455,4.510752906101519
