"n","pmask","q","p.value","Lambda","loglik.F","loglik.R"
100,0.215,0.825,0.444906103310434,3.72219443229255,-636.297120385349,-638.158217601495
50,0.215,0.825,0.232061358665743,5.58847346198445,-316.776708576241,-319.570945307233
60,0.215,0.825,0.715929443597189,2.10785489570264,-359.077013467317,-360.130940915168
70,0.215,0.825,0.742194177331147,1.9650123088793,-468.666815735099,-469.649321889538
80,0.215,0.825,0.588693897466985,2.81820739566501,-473.603744587367,-475.0128482852
90,0.215,0.825,0.254288623771044,5.33856220093571,-548.288234109262,-550.95751520973
100,0.215,0.825,0.0437854783659731,9.80820020599549,-612.462075241549,-617.366175344547
50,0.215,0.825,0.508009119851188,3.30582972568527,-281.966741979718,-283.619656842561
60,0.215,0.825,0.0628293191851824,8.93170757168775,-389.532361185889,-393.998214971732
70,0.215,0.825,0.542399130188598,3.09291112585606,-404.628526881624,-406.174982444552
80,0.215,0.825,0.406503601616068,3.99632377257205,-487.880079246877,-489.878241133163
90,0.215,0.825,0.997557485532479,0.143150930848151,-536.772179396967,-536.843754862391
100,0.215,0.825,0.869921741231586,1.24927103597361,-609.208447622027,-609.833083140013
50,0.215,0.825,0.477520279933534,3.50235547367367,-323.936292133972,-325.687469870809
60,0.215,0.825,0.0506136285313276,9.45818267790423,-398.644810135663,-403.373901474615
70,0.215,0.825,0.0175720316288667,11.9704942485515,-426.500153750128,-432.485400874404
80,0.215,0.825,0.698950415615624,2.20043074782745,-475.610884687928,-476.711100061842
90,0.215,0.825,0.0248138433555237,11.160915833746,-548.198464617116,-553.778922533989
100,0.215,0.825,0.958537624763822,0.639820131418219,-543.35787767731,-543.677787743019
50,0.215,0.825,0.778408159039157,1.76757987778399,-298.652559517423,-299.536349456315
60,0.215,0.825,0.393942505419645,4.09015249274103,-340.277703905717,-342.322780152088
70,0.215,0.825,0.231651251492191,5.59327655090397,-428.391715649058,-431.18835392451
80,0.215,0.825,0.503706334345349,3.33309152851996,-485.622590944422,-487.289136708682
90,0.215,0.825,0.340853305777705,4.51431634231221,-550.979024461097,-553.236182632253
100,0.215,0.825,0.703540040452274,2.17537493109467,-642.336072716798,-643.423760182346
50,0.215,0.825,0.968375956389096,0.550751254381794,-327.873844511718,-328.149220138909
60,0.215,0.825,0.348596028285014,4.44934625815551,-369.105939213441,-371.330612342519
70,0.215,0.825,0.347123415826679,4.46161356057303,-435.253452473423,-437.484259253709
80,0.215,0.825,0.452477172587932,3.67018508944398,-498.883261445128,-500.71835398985
90,0.215,0.825,0.00333497169152054,15.7759845412963,-531.100075254123,-538.988067524771
100,0.215,0.825,0.526850883291518,3.18812631505352,-618.627005865567,-620.221069023094
50,0.215,0.825,0.977724020759909,0.455080030700628,-279.973064403817,-280.200604419167
60,0.215,0.825,0.384084962785877,4.1653920959161,-388.331663842914,-390.414359890872
70,0.215,0.825,0.211179001637931,5.84306279177019,-430.244614329612,-433.166145725497
80,0.215,0.825,0.708999795995736,2.14560150881198,-474.48638616106,-475.559186915466
90,0.215,0.825,0.396074429225107,4.07406953283203,-554.678269287136,-556.715304053552
100,0.215,0.825,0.0804047236061841,8.3240160106277,-612.735436143557,-616.89744414887
50,0.215,0.825,0.777478905963905,1.77266812259268,-330.883311676958,-331.769645738254
60,0.215,0.825,0.917217391463057,0.950426948995869,-354.382488808175,-354.857702282673
70,0.215,0.825,0.636222589209815,2.54709743073397,-451.274541743916,-452.548090459283
80,0.215,0.825,0.412120146166625,3.95507340958602,-475.929439306389,-477.906976011182
90,0.215,0.825,0.904336912024821,1.03568919953341,-544.028594200358,-544.546438800125
100,0.215,0.825,0.350684434610803,4.43201990525768,-625.309836258362,-627.525846210991
