target_cv,n,mttf_true,actual_cv,mttf_full_mean,mttf_red_mean,n_reps,bias_full_pct,bias_red_pct,mse_full,mse_red,rmse_full,rmse_red,rel_eff,rmse_full_pct,rmse_red_pct,R_bias_full_pct,R_bias_red_pct,reject_rate
0.06,500,220.703401433383,0.0821583836257748,220.3576019028627,221.70623602818438,500,-0.15668065298244052,0.45438112339382325,84.52009360070119,89.65922416997846,9.193481038252115,9.468855483635732,0.9426815186406882,4.165536633574299,4.290307907417461,0.7542033452912172,0.21783531856495647,0.16
0.06,1000,220.703401433383,0.0821583836257748,219.98089147491007,220.9110998067393,500,-0.32736693398493383,0.09410746368536854,42.95869594186647,43.769123850817785,6.554288362733705,6.615823746958332,0.9814840271485998,2.9697269367695034,2.9976084210715026,0.0568095270563702,-0.29298884075305587,0.314
0.06,5000,220.703401433383,0.0821583836257748,220.59998534505175,221.12860388202995,500,-0.04685749637730839,0.19265785931953544,8.84729527437872,9.203681603554967,2.974440329604667,3.0337570112906156,0.961277851133117,1.3477093285770998,1.3745855259083188,-0.016140058808918056,-0.18486298960841643,0.928
0.08,100,219.784626615894,0.109544511501033,216.99960356904717,222.1944615324638,498,-1.2671600783589305,1.096452901949932,379.13896345150783,462.4046283507682,19.471491043356384,21.50359570748037,0.819928997691396,8.859350784978096,9.7839398681242,2.5069633728667777,0.2682982264728202,0.09236947791164658
0.08,500,219.784626615894,0.109544511501033,219.45367462997612,221.15530098489972,500,-0.1505801342949611,0.6236443331412654,89.20553040360461,96.26668424453051,9.444867939976959,9.811558706165423,0.9266500773726702,4.297328746511127,4.464169699781853,0.5270126404497103,-0.12955004737086442,0.266
0.08,1000,219.784626615894,0.109544511501033,219.17049707078067,220.31523067419798,500,-0.27942334028058513,0.24142000579106623,42.9450297771601,44.955105636421315,6.553245743687635,6.704856869197233,0.95528703957415,2.981667027667225,3.050648706615389,0.02197321411717199,-0.41397056001619287,0.424
0.08,5000,219.784626615894,0.109544511501033,219.4735377131746,220.27447022702702,500,-0.14154261265192059,0.22287437418863928,8.759926560627477,9.153805123318147,2.959717310931481,3.0255255945567785,0.9569710565841832,1.3466443747696797,1.3765865434457023,-0.06446221641579626,-0.36405382406016595,0.998
0.1,100,218.590403996944,0.136930639376291,214.70157490759485,220.43962039239395,497,-1.7790484020531443,0.8459732731340807,381.81472189017404,476.42048343657996,19.54007988443686,21.827058515443163,0.8014238160710829,8.939129772919967,9.985369035572266,1.5079810709370474,-0.7252972889595297,0.07243460764587525
0.1,500,218.590403996944,0.136930639376291,218.51928954019033,220.5372439771792,500,-0.03253320157396129,0.8906337810979246,92.36625095940349,101.93661941762623,9.610736233993912,10.096366644373918,0.906114519856562,4.39668716387398,4.618851724394577,0.6593541156773574,-0.13456230331138966,0.374
0.1,1000,218.590403996944,0.136930639376291,218.10805412325925,219.68363743495155,500,-0.22066379166922775,0.5001287421669447,46.29913360700545,49.297194591496876,6.8043466701076785,7.021196094078051,0.939183943237846,3.112829541320033,3.212033083655498,0.08135691615307097,-0.5154403364573538,0.672
0.1,5000,218.590403996944,0.136930639376291,218.5959949728789,219.7981561622821,500,0.0025577407940561452,0.5525183828998304,8.811410534173131,10.650581526445581,2.9684020169399448,3.2635228705258954,0.8273173171149616,1.3579745325789527,1.4929854242693659,0.0761758128153489,-0.38179984613348317,1.0
0.15,100,214.377405441242,0.205395959064437,210.05737655131225,217.9215987085459,494,-2.015151214764472,1.6532494457655553,443.8728219771557,570.6380153975948,21.068289488640403,23.888030797819958,0.7778535779252022,9.827663248968157,11.142979713115032,1.3009392074455415,-1.4705292649016168,0.16194331983805668
