target_cv,actual_cv,n,model,mttf_true,mean_est,bias,bias_sq,variance,mse,mse_check,bias_frac,var_frac,n_reps
0.02,0.0273861278752583,1000,reduced,221.724225753044,221.46778064484903,-0.25644510819498123,0.06576409351713564,46.89980720324848,46.96557129676563,46.96557129676562,0.0014002617598663086,0.9985997382401334,498
0.02,0.0273861278752583,5000,full,221.724225753044,221.61322515027214,-0.11100060277186685,0.012321133815717774,8.398623995442316,8.410945129258035,8.410945129258034,0.0014648929016143365,0.9985351070983854,500
0.02,0.0273861278752583,5000,reduced,221.724225753044,221.8102679608499,0.08604220780588889,0.007403261524111767,8.442134673436065,8.449537934960173,8.449537934960178,0.0008761735352983728,0.9991238264647021,500
0.04,0.0547722557505166,100,full,221.349288166668,218.41588190302465,-2.9334062636433487,8.604872307582031,373.67389242970614,382.2787647372882,382.27876473728816,0.022509417475740565,0.9774905825242594,499
0.04,0.0547722557505166,100,reduced,221.349288166668,223.11673216916023,1.7674440024922262,3.1238583019457407,444.843177430395,447.9670357323408,447.9670357323407,0.006973411105660548,0.9930265888943394,499
0.04,0.0547722557505166,500,full,221.349288166668,220.70476370443595,-0.6445244622320558,0.4154117824155208,83.26874377704429,83.68415555945982,83.68415555945981,0.0049640434277951175,0.9950359565722048,498
0.04,0.0547722557505166,500,reduced,221.349288166668,221.7996770569063,0.4503888902382869,0.20285015245007562,87.0112537621731,87.21410391462318,87.21410391462318,0.002325887022225814,0.9976741129777741,498
0.04,0.0547722557505166,1000,full,221.349288166668,220.8274842977234,-0.5218038689446018,0.2722792776455552,42.36931231793228,42.64159159557782,42.64159159557783,0.006385298190271869,0.9936147018097283,500
0.04,0.0547722557505166,1000,reduced,221.349288166668,221.50553956693585,0.15625140026784834,0.024414500085663357,43.160678990577985,43.185093490663654,43.18509349066365,0.0005653455419968378,0.9994346544580031,500
0.04,0.0547722557505166,5000,full,221.349288166668,221.33887264706206,-0.010415519605942336,0.00010848304866176919,9.090692722666821,9.090801205715483,9.090801205715483,1.1933276969423197e-05,0.9999880667230306,499
0.04,0.0547722557505166,5000,reduced,221.349288166668,221.66028495178176,0.3109967851137583,0.09671900035109314,9.239879708110198,9.336598708461304,9.336598708461292,0.010359125777082121,0.9896408742229165,499
0.06,0.0821583836257748,100,full,220.703401433383,217.40873867877482,-3.2946627546081686,10.854802666602286,352.0535429004837,362.9083455670861,362.908345567086,0.029910589820248985,0.9700894101797507,499
0.06,0.0821583836257748,100,reduced,220.703401433383,222.34140955544825,1.6380081220652585,2.6830706079517546,416.15263175761004,418.83570236556176,418.8357023655618,0.00640602172354915,0.9935939782764509,499
0.06,0.0821583836257748,500,full,220.703401433383,220.3576019028627,-0.34579953052028145,0.11957731530804706,84.40051628539312,84.52009360070119,84.52009360070117,0.0014147797312313321,0.9985852202687685,500
0.06,0.0821583836257748,500,reduced,220.703401433383,221.7062360281844,1.0028345948014135,1.0056772245305152,88.65354694544799,89.65922416997846,89.6592241699785,0.011216662131984594,0.9887833378680159,500
0.06,0.0821583836257748,1000,full,220.703401433383,219.98089147491012,-0.7225099584728696,0.5220206400924677,42.436675301773946,42.95869594186647,42.95869594186642,0.012151687304449096,0.9878483126955495,500
0.06,0.0821583836257748,1000,reduced,220.703401433383,220.91109980673926,0.20769837335626562,0.04313861429483871,43.725985236522945,43.769123850817785,43.769123850817785,0.000985594649823741,0.9990144053501763,500
0.06,0.0821583836257748,5000,full,220.703401433383,220.59998534505175,-0.10341608833124383,0.010694887325735626,8.83660038705298,8.84729527437872,8.847295274378716,0.0012088312861793403,0.9987911687138202,500
0.06,0.0821583836257748,5000,reduced,220.703401433383,221.12860388202995,0.42520244864695655,0.18079712233536774,9.022884481219615,9.203681603554967,9.203681603554983,0.01964400009943129,0.9803559999005703,500
0.08,0.109544511501033,100,full,219.784626615894,216.9996035690472,-2.785023046846817,7.756353371467927,371.38261008003974,379.13896345150783,379.13896345150766,0.020457811301844663,0.9795421886981549,498
0.08,0.109544511501033,100,reduced,219.784626615894,222.1944615324638,2.4098349165697925,5.807304325118939,456.5973240256493,462.4046283507682,462.40462835076823,0.012558923438615905,0.9874410765613842,498
0.08,0.109544511501033,500,full,219.784626615894,219.45367462997612,-0.330951985917892,0.10952921698299657,89.09600118662163,89.20553040360461,89.20553040360463,0.0012278298944856756,0.9987721701055146,500
0.08,0.109544511501033,500,reduced,219.784626615894,221.15530098489972,1.3706743690057124,1.8787482258492079,94.3879360186813,96.26668424453051,96.26668424453051,0.019516079114940025,0.98048392088506,500
0.08,0.109544511501033,1000,full,219.784626615894,219.17049707078067,-0.6141295451133431,0.37715509818112164,42.56787467897896,42.9450297771601,42.94502977716008,0.008782275856790952,0.9912177241432086,500
0.08,0.109544511501033,1000,reduced,219.784626615894,220.31523067419798,0.5306040583039646,0.2815406666886371,44.673564969732666,44.955105636421315,44.9551056364213,0.0062627072654577644,0.9937372927345419,500
0.08,0.109544511501033,5000,full,219.784626615894,219.47353771317464,-0.3110889027193764,0.09677630539514563,8.663150255232328,8.759926560627477,8.759926560627473,0.011047616064513389,0.9889523839354862,500
