"n","pmask","q","shape3","p.value","Lambda","loglik.F","loglik.R"
1000,0.215,0.825,2.25,0.000108489839193626,23.3358548760825,-6242.08337719086,-6253.7513046289
1000,0.215,0.825,2.5,0.00323967044852617,15.8413055899528,-6303.84281496834,-6311.76346776331
1000,0.215,0.825,2.75,2.87082019008844e-05,26.2096922621622,-6259.82729530296,-6272.93214143404
1000,0.215,0.825,3,9.90020416737183e-07,33.3981026219117,-6217.56365803972,-6234.26270935068
1000,0.215,0.825,0.25,5.03143964530755e-164,763.912339278239,-4579.82479592986,-4961.78096556898
1000,0.215,0.825,0.5,8.56005524881549e-37,175.063809578978,-5770.83078563716,-5858.36269042665
1000,0.215,0.825,0.75,2.25783043183999e-10,50.9762875849374,-5981.20273578406,-6006.69087957653
1000,0.215,0.825,1,0.388894996722484,4.12849627211835,-6118.62748614024,-6120.6917342763
1000,0.215,0.825,1.1308,0.560252299842279,2.98551529633551,-6164.85285702172,-6166.34561466989
1000,0.215,0.825,1.25,0.652292212227009,2.45733141735036,-6209.85867638331,-6211.08734209198
1000,0.215,0.825,1.5,0.522274024717776,3.21647526967536,-6317.10930191419,-6318.71753954902
1000,0.215,0.825,1.75,0.00565482065306443,14.5806751471282,-6357.23420384909,-6364.52454142266
1000,0.215,0.825,2,1.72587444241367e-05,27.3035030094907,-6394.52091816903,-6408.17266967378
1000,0.215,0.825,2.25,0.000519749166529479,19.9121133151784,-6251.71353195449,-6261.66958861208
1000,0.215,0.825,2.5,7.33231166383119e-07,34.0342553129722,-6242.42202909407,-6259.43915675055
1000,0.215,0.825,2.75,0.000124227103758722,23.0415792354906,-6315.41566128152,-6326.93645089927
1000,0.215,0.825,3,1.29781252685064e-08,42.5258464552844,-6407.25844970607,-6428.52137293371
1000,0.215,0.825,0.25,1.20125670530171e-158,739.080075866661,-4555.43602231443,-4924.97606024776
1000,0.215,0.825,0.5,2.52249238260068e-32,154.231332299978,-5771.93338937947,-5849.04905552946
1000,0.215,0.825,0.75,1.64358840398415e-10,51.636087941286,-6041.04444360363,-6066.86248757427
1000,0.215,0.825,1,0.0200795940111642,11.6585376320563,-6212.62130682295,-6218.45057563897
1000,0.215,0.825,1.1308,0.182875525517777,6.22627015185572,-6248.47733372657,-6251.59046880249
1000,0.215,0.825,1.25,0.481280607918118,3.47767769288839,-6227.47586296378,-6229.21470181022
1000,0.215,0.825,1.5,0.204637162056647,5.92738593492868,-6255.35730458231,-6258.32099754977
1000,0.215,0.825,1.75,0.000977274519424829,18.5177747040361,-6202.27233173415,-6211.53121908617
1000,0.215,0.825,2,0.000236727878723808,21.6364873592338,-6180.72475570444,-6191.54299938405
1000,0.215,0.825,2.25,0.0317203806039133,10.5794220169701,-6246.48615343421,-6251.77586444269
1000,0.215,0.825,2.5,0.00134762041825987,17.8043373749279,-6269.50130480054,-6278.40347348801
1000,0.215,0.825,2.75,0.00197910805121849,16.9472402434531,-6285.30011005946,-6293.77373018119
1000,0.215,0.825,3,6.78474567634992e-07,34.1985832867504,-6310.89951292883,-6327.9988045722
1000,0.215,0.825,0.25,1.84865338374719e-185,862.866425246602,-4677.89105093764,-5109.32426356095
1000,0.215,0.825,0.5,9.63389562021011e-42,198.09789151185,-5697.14027860907,-5796.18922436499
1000,0.215,0.825,0.75,1.34990478287604e-09,47.2541567243552,-6049.77816180844,-6073.40524017062
1000,0.215,0.825,1,0.0259944457744591,11.051212496719,-6186.25753442249,-6191.78314067085
1000,0.215,0.825,1.1308,0.29038089824335,4.97008363925488,-6151.29355932358,-6153.7786011432
1000,0.215,0.825,1.25,0.5360232932255,3.13175725056681,-6170.75204689297,-6172.31792551825
1000,0.215,0.825,1.5,0.00674406287473938,14.179364360054,-6233.38484987474,-6240.47453205477
1000,0.215,0.825,1.75,0.00464553082788313,15.0270062834788,-6252.33927537538,-6259.85277851712
1000,0.215,0.825,2,0.015895241042138,12.2042606032119,-6227.82567619904,-6233.92780650064
1000,0.215,0.825,2.25,0.00023040917870035,21.6955912366684,-6325.4622644169,-6336.31006003523
1000,0.215,0.825,2.5,0.00261776833917916,16.3206270137161,-6328.20003821139,-6336.36035171825
1000,0.215,0.825,2.75,1.2638210857993e-07,37.7466695677358,-6318.96173368514,-6337.83506846901
1000,0.215,0.825,3,2.11394319503489e-05,26.8679075626023,-6244.39696578545,-6257.83091956675
1000,0.215,0.825,0.25,9.80803677024579e-126,587.055786603523,-4613.91439004093,-4907.4422833427
1000,0.215,0.825,0.5,5.85233239813185e-45,213.054466097165,-5728.03505420555,-5834.56228725413
1000,0.215,0.825,0.75,2.94954845437205e-05,26.1514501186648,-6030.48626984178,-6043.56199490112
