"n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","aic_F","aic_R","bic_F","bic_R"
100,0.05,0.825,0.843431637046212,1.40439010537943,-604.873462460285,-605.575657512975,0.0399806559271595,1.11213300318359,1229.74692492057,1223.15131502595,1255.79862678045,1238.78233614188
100,0.05,0.825,0.0554797066831639,9.23530340012371,-674.341506397111,-678.959158097173,0.0399806559271595,1.11213300318359,1368.68301279422,1369.91831619435,1394.7347146541,1385.54933731027
100,0.05,0.825,0.509392555761771,3.29709566449833,-688.714144086112,-690.362691918361,0.0399806559271595,1.11213300318359,1397.42828817222,1392.72538383672,1423.4799900321,1408.35640495265
100,0.05,0.825,0.820592332780449,1.53405545506371,-672.889220729241,-673.656248456773,0.0399806559271595,1.11213300318359,1365.77844145848,1359.31249691355,1391.83014331836,1374.94351802947
100,0.05,0.825,0.941976888476715,0.773409775420987,-628.451756787044,-628.838461674755,0.0399806559271595,1.11213300318359,1276.90351357409,1269.67692334951,1302.95521543397,1285.30794446544
100,0.05,0.825,0.840854435096566,1.41918142229429,-614.00833769293,-614.717928404077,0.0399806559271595,1.11213300318359,1248.01667538586,1241.43585680815,1274.06837724574,1257.06687792408
100,0.05,0.825,0.95870898410457,0.638343792219757,-666.861747407489,-667.180919303599,0.0399806559271595,1.11213300318359,1353.72349481498,1346.3618386072,1379.77519667486,1361.99285972313
100,0.05,0.825,0.963345637128646,0.597458942770345,-663.109808502348,-663.408537973734,0.0399806559271595,1.11213300318359,1346.2196170047,1338.81707594747,1372.27131886458,1354.4480970634
100,0.05,0.825,0.551311253229703,3.03905375764293,-654.969407874556,-656.488934753377,0.0399806559271595,1.11213300318359,1329.93881574911,1324.97786950675,1355.99051760899,1340.60889062268
100,0.05,0.825,0.25485815068554,5.33241062574757,-671.675767281262,-674.341972594136,0.0399806559271595,1.11213300318359,1363.35153456252,1360.68394518827,1389.40323642241,1376.3149663042
100,0.05,0.825,0.703490794304513,2.1756436369642,-629.60457380147,-630.692395619952,0.0399806559271595,1.11213300318359,1279.20914760294,1273.3847912399,1305.26084946282,1289.01581235583
100,0.05,0.825,0.992040374336492,0.263613023415473,-673.385649075845,-673.517455587552,0.0399806559271595,1.11213300318359,1366.77129815169,1359.0349111751,1392.82300001157,1374.66593229103
100,0.05,0.825,0.770558681858355,1.81051136491283,-645.275708571388,-646.180964253844,0.0399806559271595,1.11213300318359,1310.55141714278,1304.36192850769,1336.60311900266,1319.99294962362
100,0.05,0.825,0.0329405814056764,10.4895976695996,-634.4888473511,-639.7336461859,0.0399806559271595,1.11213300318359,1288.9776947022,1291.4672923718,1315.02939656208,1307.09831348773
100,0.05,0.825,0.241255306771688,5.48268922062334,-633.83713323086,-636.578477841172,0.0399806559271595,1.11213300318359,1287.67426646172,1285.15695568234,1313.7259683216,1300.78797679827
100,0.05,0.825,0.750078250891157,1.92213178092402,-646.986553881085,-647.947619771547,0.0399806559271595,1.11213300318359,1313.97310776217,1307.89523954309,1340.02480962205,1323.52626065902
100,0.05,0.825,0.0857771666723953,8.16327122210646,-682.925711455709,-687.007347066762,0.0399806559271595,1.11213300318359,1385.85142291142,1386.01469413352,1411.9031247713,1401.64571524945
100,0.05,0.825,0.628167840744287,2.59241228902602,-664.227101139448,-665.523307283961,0.0399806559271595,1.11213300318359,1348.4542022789,1343.04661456792,1374.50590413878,1358.67763568385
100,0.05,0.825,0.305162951712532,4.8302456806457,-611.162614481384,-613.577737321707,0.0399806559271595,1.11213300318359,1242.32522896277,1239.15547464341,1268.37693082265,1254.78649575934
100,0.05,0.825,0.427714654953582,3.84268430262182,-665.613494451933,-667.534836603244,0.0399806559271595,1.11213300318359,1351.22698890387,1347.06967320649,1377.27869076375,1362.70069432242
100,0.05,0.825,0.0238366530041086,11.2556088676658,-629.58895287311,-635.216757306943,0.0399806559271595,1.11213300318359,1279.17790574622,1282.43351461389,1305.2296076061,1298.06453572982
100,0.05,0.825,0.0264193760358353,11.0129037571817,-650.394046373282,-655.900498251872,0.0399806559271595,1.11213300318359,1320.78809274656,1323.80099650374,1346.83979460644,1339.43201761967
100,0.05,0.825,0.0564168091144764,9.19453296227175,-646.818838373267,-651.416104854403,0.0399806559271595,1.11213300318359,1313.63767674653,1314.83220970881,1339.68937860642,1330.46323082474
100,0.05,0.825,0.712493354910006,2.12656637595546,-629.43939579893,-630.502678986907,0.0399806559271595,1.11213300318359,1278.87879159786,1273.00535797381,1304.93049345774,1288.63637908974
100,0.05,0.825,0.43676592024308,3.77882063632774,-656.338429973952,-658.227840292116,0.0399806559271595,1.11213300318359,1332.6768599479,1328.45568058423,1358.72856180779,1344.08670170016
100,0.05,0.825,0.797162233018546,1.66446383308471,-660.035996001896,-660.868227918438,0.0399806559271595,1.11213300318359,1340.07199200379,1333.73645583688,1366.12369386367,1349.3674769528
100,0.05,0.825,0.487076345130386,3.43989335740389,-628.413941870053,-630.133888548755,0.0399806559271595,1.11213300318359,1276.82788374011,1272.26777709751,1302.87958559999,1287.89879821344
100,0.05,0.825,0.273655907104345,5.13569152100104,-663.34542429229,-665.913270052791,0.0399806559271595,1.11213300318359,1346.69084858458,1343.82654010558,1372.74255044446,1359.45756122151
100,0.05,0.825,0.917143372098127,0.950927916027922,-678.483574241521,-678.959038199535,0.0399806559271595,1.11213300318359,1376.96714848304,1369.91807639907,1403.01885034292,1385.549097515
100,0.05,0.825,0.808217089705165,1.60319883189663,-662.74550285696,-663.547102272909,0.0399806559271595,1.11213300318359,1345.49100571392,1339.09420454582,1371.5427075738,1354.72522566175
100,0.05,0.825,0.715450356798111,2.11046322825246,-622.631731096252,-623.686962710378,0.0399806559271595,1.11213300318359,1265.2634621925,1259.37392542076,1291.31516405238,1275.00494653668
100,0.05,0.825,0.133390239572535,7.04767359520565,-694.47372950454,-697.997566302143,0.0399806559271595,1.11213300318359,1408.94745900908,1407.99513260429,1434.99916086896,1423.62615372021
100,0.05,0.825,0.325845826600484,4.64370798516416,-660.491771129937,-662.813625122519,0.0399806559271595,1.11213300318359,1340.98354225987,1337.62725024504,1367.03524411975,1353.25827136097
100,0.05,0.825,0.0346958843115633,10.3658515920245,-634.741623110202,-639.924548906214,0.0399806559271595,1.11213300318359,1289.4832462204,1291.84909781243,1315.53494808028,1307.48011892836
100,0.05,0.825,0.82373109207508,1.51640790905299,-660.454719574254,-661.21292352878,0.0399806559271595,1.11213300318359,1340.90943914851,1334.42584705756,1366.96114100839,1350.05686817349
100,0.05,0.825,0.467677700182407,3.56757751466421,-655.390079019555,-657.173867776887,0.0399806559271595,1.11213300318359,1330.78015803911,1326.34773555377,1356.83185989899,1341.9787566697
100,0.05,0.825,0.0100791629584885,13.2585566305806,-659.738278703234,-666.367557018524,0.0399806559271595,1.11213300318359,1339.47655740647,1344.73511403705,1365.52825926635,1360.36613515298
100,0.05,0.825,0.732971880933461,2.01515185496578,-624.498932658134,-625.506508585617,0.0399806559271595,1.11213300318359,1268.99786531627,1263.01301717123,1295.04956717615,1278.64403828716
100,0.05,0.825,0.307881069912181,4.80514774861649,-636.457481782803,-638.860055657111,0.0399806559271595,1.11213300318359,1292.91496356561,1289.72011131422,1318.96666542549,1305.35113243015
100,0.05,0.825,0.312848551289035,4.75974941431286,-621.749299467132,-624.129174174288,0.0399806559271595,1.11213300318359,1263.49859893426,1260.25834834858,1289.55030079414,1275.8893694645
100,0.05,0.825,0.369463518174901,4.27978306339241,-653.43098566581,-655.570877197506,0.0399806559271595,1.11213300318359,1326.86197133162,1323.14175439501,1352.9136731915,1338.77277551094
100,0.05,0.825,0.0803729627646108,8.32499603535553,-672.783367298567,-676.945865316245,0.0399806559271595,1.11213300318359,1365.56673459713,1365.89173063249,1391.61843645702,1381.52275174842
100,0.05,0.825,0.215108406332132,5.79351623624075,-661.514797298441,-664.411555416561,0.0399806559271595,1.11213300318359,1343.02959459688,1340.82311083312,1369.08129645676,1356.45413194905
100,0.05,0.825,0.811755628304092,1.58349425359188,-663.361683789953,-664.153430916749,0.0399806559271595,1.11213300318359,1346.72336757991,1340.3068618335,1372.77506943979,1355.93788294943
100,0.05,0.825,0.918038560629218,0.944859884147945,-684.781360517701,-685.253790459775,0.0399806559271595,1.11213300318359,1389.5627210354,1382.50758091955,1415.61442289528,1398.13860203548
100,0.05,0.825,0.238048873654869,5.51917777607468,-622.966362410683,-625.72595129872,0.0399806559271595,1.11213300318359,1265.93272482137,1263.45190259744,1291.98442668125,1279.08292371337
100,0.05,0.825,0.92574094421476,0.891753346392306,-621.965996421733,-622.411873094929,0.0399806559271595,1.11213300318359,1263.93199284347,1256.82374618986,1289.98369470335,1272.45476730579
100,0.05,0.825,0.357944550121565,4.37241800390734,-631.918263990545,-634.104472992499,0.0399806559271595,1.11213300318359,1283.83652798109,1280.208945985,1309.88822984097,1295.83996710093
100,0.05,0.825,0.483058609498274,3.46605423379401,-655.89627915994,-657.629306276837,0.0399806559271595,1.11213300318359,1331.79255831988,1327.25861255367,1357.84426017976,1342.8896336696
100,0.05,0.825,0.125771253312759,7.19833060604128,-622.986187046067,-626.585352349087,0.0399806559271595,1.11213300318359,1265.97237409213,1265.17070469817,1292.02407595201,1280.8017258141
100,0.05,0.825,0.888233674623815,1.13777330652078,-648.996108207316,-649.564994860577,0.0399806559271595,1.11213300318359,1317.99221641463,1311.12998972115,1344.04391827451,1326.76101083708
100,0.05,0.825,0.636642690235737,2.54474016554514,-648.458531153059,-649.730901235832,0.0399806559271595,1.11213300318359,1316.91706230612,1311.46180247166,1342.968764166,1327.09282358759
100,0.05,0.825,0.303298173429477,4.84757155632315,-628.569769283606,-630.993555061768,0.0399806559271595,1.11213300318359,1277.13953856721,1273.98711012354,1303.19124042709,1289.61813123946
100,0.05,0.825,0.807963297508115,1.60461020943058,-611.971067332599,-612.773372437314,0.0399806559271595,1.11213300318359,1243.9421346652,1237.54674487463,1269.99383652508,1253.17776599056
100,0.05,0.825,0.449017174698282,3.69387652939827,-637.961587243351,-639.80852550805,0.0399806559271595,1.11213300318359,1295.9231744867,1291.6170510161,1321.97487634658,1307.24807213203
100,0.05,0.825,0.313367535626539,4.75504072298259,-655.901701748355,-658.279222109847,0.0399806559271595,1.11213300318359,1331.80340349671,1328.55844421969,1357.85510535659,1344.18946533562
100,0.05,0.825,0.81537194501439,1.56330363247912,-641.979817446356,-642.761469262596,0.0399806559271595,1.11213300318359,1303.95963489271,1297.52293852519,1330.01133675259,1313.15395964112
100,0.05,0.825,0.166998400353997,6.46516728400684,-637.617662100167,-640.85024574217,0.0399806559271595,1.11213300318359,1295.23532420033,1293.70049148434,1321.28702606021,1309.33151260027
100,0.05,0.825,0.293585201856969,4.93927502121278,-618.345598315039,-620.815235825645,0.0399806559271595,1.11213300318359,1256.69119663008,1253.63047165129,1282.74289848996,1269.26149276722
100,0.05,0.825,0.428677081340044,3.8358473067517,-641.221330860053,-643.139254513429,0.0399806559271595,1.11213300318359,1302.44266172011,1298.27850902686,1328.49436357999,1313.90953014279
100,0.05,0.825,0.563393006659843,2.96682151371215,-665.867576398069,-667.350987154926,0.0399806559271595,1.11213300318359,1351.73515279614,1346.70197430985,1377.78685465602,1362.33299542578
100,0.05,0.825,0.268443033584699,5.18905944154812,-649.77378141023,-652.368311131004,0.0399806559271595,1.11213300318359,1319.54756282046,1316.73662226201,1345.59926468034,1332.36764337794
100,0.05,0.825,0.626166182629003,2.60370927599888,-638.862713345487,-640.164567983486,0.0399806559271595,1.11213300318359,1297.72542669097,1292.32913596697,1323.77712855085,1307.9601570829
100,0.05,0.825,0.85216688362091,1.35389784873382,-634.764028558889,-635.440977483256,0.0399806559271595,1.11213300318359,1289.52805711778,1282.88195496651,1315.57975897766,1298.51297608244
100,0.05,0.825,0.830969671239811,1.47551486060684,-655.281516417633,-656.019273847936,0.0399806559271595,1.11213300318359,1330.56303283527,1324.03854769587,1356.61473469515,1339.6695688118
100,0.05,0.825,0.074875483345958,8.50038749476266,-633.260423919814,-637.510617667195,0.0399806559271595,1.11213300318359,1286.52084783963,1287.02123533439,1312.57254969951,1302.65225645032
100,0.05,0.825,0.11184311028748,7.49696698643015,-663.243508321584,-666.991991814799,0.0399806559271595,1.11213300318359,1346.48701664317,1345.9839836296,1372.53871850305,1361.61500474553
100,0.05,0.825,0.0562612809374655,9.20125464219473,-671.172079136175,-675.772706457273,0.0399806559271595,1.11213300318359,1362.34415827235,1363.54541291455,1388.39586013223,1379.17643403047
100,0.05,0.825,0.310506922310908,4.78107513382179,-672.353590576582,-674.744128143493,0.0399806559271595,1.11213300318359,1364.70718115316,1361.48825628699,1390.75888301304,1377.11927740291
100,0.05,0.825,0.439115949033604,3.76239587702321,-659.50839803325,-661.389595971761,0.0399806559271595,1.11213300318359,1339.0167960665,1334.77919194352,1365.06849792638,1350.41021305945
100,0.05,0.825,0.108340919602222,7.5774792150371,-655.32055568007,-659.109295287589,0.0399806559271595,1.11213300318359,1330.64111136014,1330.21859057518,1356.69281322002,1345.84961169111
100,0.05,0.825,0.310341678527864,4.78258504774203,-648.159112721507,-650.550405245378,0.0399806559271595,1.11213300318359,1316.31822544301,1313.10081049076,1342.36992730289,1328.73183160668
100,0.05,0.825,0.841814736179689,1.41367529107356,-648.168234117633,-648.87507176317,0.0399806559271595,1.11213300318359,1316.33646823527,1309.75014352634,1342.38817009515,1325.38116464227
100,0.05,0.825,0.209354045197718,5.86635121167592,-662.181459654679,-665.114635260517,0.0399806559271595,1.11213300318359,1344.36291930936,1342.22927052103,1370.41462116924,1357.86029163696
100,0.05,0.825,0.781694526638482,1.74957099369158,-632.48360429386,-633.358389790706,0.0399806559271595,1.11213300318359,1284.96720858772,1278.71677958141,1311.0189104476,1294.34780069734
