"n","p","q","p_value","Lambda","loglik_F","loglik_R","cv_shapes","maxmin_ratio","pct_censored","aic_F","aic_R","bic_F","bic_R"
100,0.215,0.5,0.852410480631231,1.35248135486336,-390.548232049452,-391.224472726884,0.0399806559271595,1.11213300318359,0.48,801.096464098904,794.448945453768,827.148165958785,810.079966569696
100,0.215,0.5,0.668255566438881,2.36889511170409,-406.259745030462,-407.444192586314,0.0399806559271595,1.11213300318359,0.46,832.519490060924,826.888385172628,858.571191920805,842.519406288556
100,0.215,0.5,0.479576458760917,3.48884535398315,-342.408138409192,-344.152561086183,0.0399806559271595,1.11213300318359,0.56,704.816276818383,700.305122172366,730.867978678264,715.936143288295
100,0.215,0.5,0.276528525118699,5.10665023158583,-358.493331606956,-361.046656722749,0.0399806559271595,1.11213300318359,0.53,736.986663213913,734.093313445498,763.038365073794,749.724334561427
100,0.215,0.5,0.670667663122605,2.3555879575257,-410.989860304151,-412.167654282914,0.0399806559271595,1.11213300318359,0.45,841.979720608303,836.335308565828,868.031422468183,851.966329681757
100,0.215,0.5,0.377536569133658,4.21619837857918,-373.749881269377,-375.857980458667,0.0399806559271595,1.11213300318359,0.5,767.499762538755,763.715960917334,793.551464398636,779.346982033262
100,0.215,0.5,0.674495582405879,2.33449716129701,-433.595941312842,-434.76318989349,0.0399806559271595,1.11213300318359,0.41,887.191882625684,881.526379786981,913.243584485565,897.157400902909
100,0.215,0.5,1.34642764318199e-05,27.8360838349897,-398.380424072335,-412.29846598983,0.0399806559271595,1.11213300318359,0.45,816.760848144671,836.596931979661,842.812550004552,852.227953095589
100,0.215,0.5,0.495215258351886,3.38733148047379,-415.345079159467,-417.038744899704,0.0399806559271595,1.11213300318359,0.43,850.690158318935,846.077489799408,876.741860178816,861.708510915337
100,0.215,0.5,0.384841781986162,4.15956340855973,-383.310228593238,-385.390010297518,0.0399806559271595,1.11213300318359,0.48,786.620457186477,782.780020595037,812.672159046358,798.411041710965
100,0.215,0.5,0.868528056796405,1.25759448936162,-413.969236866729,-414.59803411141,0.0399806559271595,1.11213300318359,0.44,847.938473733459,841.196068222821,873.99017559334,856.827089338749
100,0.215,0.5,0.282840288861824,5.04372600536351,-392.151635128532,-394.673498131214,0.0399806559271595,1.11213300318359,0.48,804.303270257064,801.346996262428,830.354972116945,816.978017378356
100,0.215,0.5,0.295241383660405,4.92346132646071,-395.027988540914,-397.489719204145,0.0399806559271595,1.11213300318359,0.46,810.055977081829,806.97943840829,836.10767894171,822.610459524218
100,0.215,0.5,0.577328317948031,2.88454711346037,-399.509445625799,-400.951719182529,0.0399806559271595,1.11213300318359,0.47,819.018891251598,813.903438365058,845.070593111479,829.534459480987
100,0.215,0.5,0.864366625477536,1.28232805792629,-411.298134290458,-411.939298319421,0.0399806559271595,1.11213300318359,0.45,842.596268580916,835.878596638843,868.647970440797,851.509617754771
100,0.215,0.5,0.47972150462909,3.48789380161884,-393.565677722116,-395.309624622925,0.0399806559271595,1.11213300318359,0.47,807.131355444232,802.61924924585,833.183057304112,818.250270361779
100,0.215,0.5,0.170909470539189,6.40447735226223,-341.302135530571,-344.504374206702,0.0399806559271595,1.11213300318359,0.56,702.604271061141,701.008748413404,728.655972921022,716.639769529332
100,0.215,0.5,0.548865024173789,3.05378669545962,-417.655511560262,-419.182404907991,0.0399806559271595,1.11213300318359,0.43,855.311023120523,850.364809815983,881.362724980404,865.995830931911
100,0.215,0.5,0.835656933868839,1.44887750727901,-347.428925151689,-348.153363905329,0.0399806559271595,1.11213300318359,0.56,714.857850303379,708.306727810658,740.909552163259,723.937748926586
100,0.215,0.5,0.300372226689269,4.87493592005126,-399.059808660051,-401.497276620076,0.0399806559271595,1.11213300318359,0.47,818.119617320102,814.994553240153,844.171319179983,830.625574356082
100,0.215,0.5,0.703788618414513,2.17401863873226,-411.27145794721,-412.358467266577,0.0399806559271595,1.11213300318359,0.45,842.542915894421,836.716934533153,868.594617754302,852.347955649082
100,0.215,0.5,0.405087778719115,4.00678944010986,-372.017115049949,-374.020509770004,0.0399806559271595,1.11213300318359,0.51,764.034230099898,760.041019540008,790.085931959779,775.672040655936
100,0.215,0.5,0.958858825397881,0.637050933270416,-383.082548690713,-383.401074157349,0.0399806559271595,1.11213300318359,0.49,786.165097381427,778.802148314697,812.216799241308,794.433169430626
100,0.215,0.5,0.709465356488114,2.14306416161151,-372.054119157825,-373.125651238631,0.0399806559271595,1.11213300318359,0.51,764.10823831565,758.251302477262,790.159940175531,773.88232359319
100,0.215,0.5,0.822954857443954,1.52077678867192,-387.404488129578,-388.164876523914,0.0399806559271595,1.11213300318359,0.49,794.808976259156,788.329753047827,820.860678119036,803.960774163756
100,0.215,0.5,0.82158745635456,1.52846564381105,-412.824986291901,-413.589219113806,0.0399806559271595,1.11213300318359,0.45,845.649972583802,839.178438227613,871.701674443682,854.809459343541
100,0.215,0.5,0.455711454984138,3.64815409122014,-369.16987878036,-370.99395582597,0.0399806559271595,1.11213300318359,0.51,758.339757560721,753.987911651941,784.391459420602,769.618932767869
100,0.215,0.5,0.524074253419593,3.20530667915978,-313.828595282634,-315.431248622214,0.0399806559271595,1.11213300318359,0.59,647.657190565269,642.862497244429,673.70889242515,658.493518360357
100,0.215,0.5,0.643058129725029,2.50881443887454,-379.978828337205,-381.233235556642,0.0399806559271595,1.11213300318359,0.5,779.957656674409,774.466471113284,806.00935853429,790.097492229212
100,0.215,0.5,0.981245286817799,0.41482445618351,-388.242236774235,-388.449649002327,0.0399806559271595,1.11213300318359,0.48,796.48447354847,788.899298004653,822.536175408351,804.530319120582
100,0.215,0.5,0.0107345918262185,13.1134425463565,-379.166068249161,-385.722789522339,0.0399806559271595,1.11213300318359,0.49,778.332136498321,783.445579044678,804.383838358202,799.076600160606
100,0.215,0.5,0.303725893540738,4.84358976685098,-344.582547109771,-347.004341993197,0.0399806559271595,1.11213300318359,0.55,709.165094219542,706.008683986393,735.216796079423,721.639705102322
100,0.215,0.5,0.434685350787434,3.79341526976896,-399.487975655253,-401.384683290137,0.0399806559271595,1.11213300318359,0.47,818.975951310506,814.769366580275,845.027653170387,830.400387696203
100,0.215,0.5,0.878683139815437,1.19644766364331,-368.210742653885,-368.808966485707,0.0399806559271595,1.11213300318359,0.52,756.421485307771,749.617932971414,782.473187167652,765.248954087342
100,0.215,0.5,0.17441475424668,6.35114012354131,-374.832559503148,-378.008129564918,0.0399806559271595,1.11213300318359,0.5,769.665119006295,768.016259129837,795.716820866176,783.647280245765
100,0.215,0.5,0.901949810982245,1.05110814613806,-411.714620107942,-412.240174181011,0.0399806559271595,1.11213300318359,0.45,843.429240215885,836.480348362023,869.480942075766,852.111369477951
100,0.215,0.5,0.539856175739768,3.10837232217125,-330.417155947705,-331.971342108791,0.0399806559271595,1.11213300318359,0.57,680.83431189541,675.942684217581,706.886013755291,691.57370533351
100,0.215,0.5,0.456582713233854,3.64223806232246,-395.665635900726,-397.486754931888,0.0399806559271595,1.11213300318359,0.48,811.331271801453,806.973509863775,837.382973661334,822.604530979704
100,0.215,0.5,0.0209562360722053,11.5583486521721,-383.873847725315,-389.653022051401,0.0399806559271595,1.11213300318359,0.49,787.747695450629,791.306044102801,813.79939731051,806.93706521873
100,0.215,0.5,0.241292884050153,5.48226409899257,-315.132633278241,-317.873765327737,0.0399806559271595,1.11213300318359,0.58,650.265266556482,647.747530655474,676.316968416363,663.378551771403
